Temperature,Preheat,Heating,Cooling,Reached,
,144,No,No,No,No
,141,No,No,No,No
,141,No,No,No,No
,138,No,No,No,No
,138,No,No,No,No
,136,No,No,No,No
,134,No,No,No,No
,134,No,No,No,No
,134,No,No,No,No
,134,No,No,No,No
,133,No,No,No,No
,131,No,No,No,No
,131,No,No,No,No
,128,No,No,No,No
,127,No,No,No,No
,127,No,No,No,No
,126,No,No,No,No
,126,No,No,No,No
,126,No,No,No,No
,125,No,No,No,No
,125,No,No,No,No
,125,No,No,No,No
,125,No,No,No,No
,125,No,No,No,No
,125,No,No,No,No
,125,No,No,No,No
,125,No,No,No,No
,125,No,No,No,No
,124,No,No,No,No
,123,No,No,No,No
,123,No,No,No,No
,123,No,No,No,No
,122,No,No,No,No
,122,No,No,No,No
,120,No,No,No,No
,120,No,No,No,No
,120,No,No,No,No
,119,No,No,No,No
,119,No,No,No,No
,119,No,No,No,No
,119,No,No,No,No
,117,No,No,No,No
,117,No,No,No,No
,117,No,No,No,No
,115,No,No,No,No
,115,No,No,No,No
,116,No,No,No,No
,114,No,No,No,No
,114,No,No,No,No
,115,No,No,No,No
,114,No,No,No,No
,114,No,No,No,No
,112,No,No,No,No
,112,No,No,No,No
,112,No,No,No,No
,112,No,No,No,No
,112,No,No,No,No
,113,No,No,No,No
,113,No,No,No,No
,114,No,No,No,No
,114,No,No,No,No
,114,No,No,No,No
,113,No,No,No,No
,113,No,No,No,No
,113,No,No,No,No
,113,No,No,No,No
,113,No,No,No,No
,113,No,No,No,No
,113,No,No,No,No
,113,No,No,No,No
,114,No,No,No,No
,114,No,No,No,No
,112,No,No,No,No
,110,No,No,No,No
,110,No,No,No,No
,107,No,No,No,No
,106,No,No,No,No
,106,No,No,No,No
,104,No,No,No,No
,104,No,No,No,No
,105,No,No,No,No
,103,No,No,No,No
,103,No,No,No,No
,102,No,No,No,No
,102,No,No,No,No
,103,No,No,No,No
,102,No,No,No,No
,102,No,No,No,No
,99,No,No,No,No
,99,No,No,No,No
,99,No,No,No,No
,99,No,No,No,No
,99,No,No,No,No
,97,No,No,No,No
,97,No,No,No,No
,97,No,No,No,No
,95,No,No,No,No
,95,No,No,No,No
,93,No,No,No,No
,92,No,No,No,No
,92,No,No,No,No
,91,No,No,No,No
,91,No,No,No,No
,90,No,No,No,No
,90,No,No,No,No
,90,No,No,No,No
,90,No,No,No,No
,90,No,No,No,No
,89,No,No,No,No
,89,No,No,No,No
,89,No,No,No,No
,89,No,No,No,No
,89,No,No,No,No
,89,No,No,No,No
,89,No,No,No,No
,89,No,No,No,No
,89,No,No,No,No
,87,No,No,No,No
,87,No,No,No,No
,86,No,No,No,No
,86,No,No,No,No
,85,No,No,No,No
,84,No,No,No,No
,84,No,No,No,No
,84,No,No,No,No
,84,No,No,No,No
,84,No,No,No,No
,85,No,No,No,No
,85,No,No,No,No
,85,No,No,No,No
,86,No,No,No,No
,86,No,No,No,No
,86,No,No,No,No
,86,No,No,No,No
,86,No,No,No,No
,87,No,No,No,No
,87,No,No,No,No
,86,No,No,No,No
,86,No,No,No,No
,86,No,No,No,No
,83,No,No,No,No
,83,No,No,No,No
,83,No,No,No,No
,82,No,No,No,No
,82,No,No,No,No
,81,No,No,No,No
,81,No,No,No,No
,82,No,No,No,No
,81,No,No,No,No
,81,No,No,No,No
,80,No,No,No,No
,80,No,No,No,No
,80,No,No,No,No
,80,No,No,No,No
,80,No,No,No,No
,79,No,No,No,No
,79,No,No,No,No
,79,No,No,No,No
,80,No,No,No,No
,80,No,No,No,No
,80,No,No,No,No
,78,No,No,No,No
,78,No,No,No,No
,78,No,No,No,No
,78,No,No,No,No
,77,No,No,No,No
,78,No,No,No,No
,78,No,No,No,No
,78,No,No,No,No
,77,No,No,No,No
,77,No,No,No,No
,76,No,No,No,No
,76,No,No,No,No
,76,No,No,No,No
,75,No,No,No,No
,75,No,No,No,No
,74,No,No,No,No
,74,No,No,No,No
,73,No,No,No,No
,73,No,No,No,No
,73,No,No,No,No
,72,No,No,No,No
,72,No,No,No,No
,72,No,No,No,No
,72,No,No,No,No
,72,No,No,No,No
,71,No,No,No,No
,71,No,No,No,No
,71,No,No,No,No
,71,No,No,No,No
,71,No,No,No,No
,71,No,No,No,No
,71,No,No,No,No
,71,No,No,No,No
,70,No,No,No,No
,70,No,No,No,No
,69,No,No,No,No
,69,No,No,No,No
,69,No,No,No,No
,68,No,No,No,No
,68,No,No,No,No
,68,No,No,No,No
,68,No,No,No,No
,68,No,No,No,No
,68,No,No,No,No
,68,No,No,No,No
,68,No,No,No,No
,67,No,No,No,No
,67,No,No,No,No
